# KET QUA GIAI PHUONG TRINH SCHRODINGER PHU THUOC THOI GIAN

######################################################################################################################################################
# THAM SO DAU VAO
######################################################################################################################################################

# N_x        = 751
# N_t        = 10001
# x_min      = 0
# x_max      = 15
# t_min      = 0
# t_max      = 1
# dx         = 0.02
# dt         = 0.0001
# sigma_0    = 0.5
# k_0        = 8
# cach_deu_time = 200

######################################################################################################################################################

#              t               x          Re_psi          Im_psi           |psi|         |psi|^2
    0.000000e+00    8.200000e-01    6.808282e-16    1.934293e-16    7.077726e-16    5.009420e-31
    0.000000e+00    8.400000e-01    8.952665e-16    4.179955e-16    9.880396e-16    9.762223e-31
    0.000000e+00    8.600000e-01    1.139027e-15    7.739353e-16    1.377083e-15    1.896358e-30
    0.000000e+00    8.800000e-01    1.393161e-15    1.315711e-15    1.916245e-15    3.671995e-30
    0.000000e+00    9.000000e-01    1.619577e-15    2.112934e-15    2.662239e-15    7.087517e-30
    0.000000e+00    9.200000e-01    1.750856e-15    3.251276e-15    3.692736e-15    1.363630e-29
    0.000000e+00    9.400000e-01    1.676382e-15    4.831355e-15    5.113927e-15    2.615224e-29
    0.000000e+00    9.600000e-01    1.223985e-15    6.964012e-15    7.070757e-15    4.999560e-29
    0.000000e+00    9.800000e-01    1.364666e-16    9.759779e-15    9.760733e-15    9.527191e-29
    0.000000e+00    1.000000e+00   -1.957344e-15    1.330938e-14    1.345253e-14    1.809707e-28
    0.000000e+00    1.020000e+00   -5.576718e-15    1.765103e-14    1.851104e-14    3.426587e-28
    0.000000e+00    1.040000e+00   -1.142697e-14    2.271912e-14    2.543096e-14    6.467340e-28
    0.000000e+00    1.060000e+00   -2.043809e-14    2.826712e-14    3.488188e-14    1.216746e-27
    0.000000e+00    1.080000e+00   -3.379841e-14    3.375651e-14    4.776855e-14    2.281835e-27
    0.000000e+00    1.100000e+00   -5.297367e-14    3.820180e-14    6.531146e-14    4.265587e-27
    0.000000e+00    1.120000e+00   -7.969683e-14    3.996108e-14    8.915421e-14    7.948472e-27
    0.000000e+00    1.140000e+00   -1.159067e-13    3.646183e-14    1.215065e-13    1.476382e-26
    0.000000e+00    1.160000e+00   -1.636042e-13    2.385318e-14    1.653340e-13    2.733532e-26
    0.000000e+00    1.180000e+00   -2.245844e-13   -3.418897e-15    2.246104e-13    5.044985e-26
    0.000000e+00    1.200000e+00   -2.999863e-13   -5.310886e-14    3.046512e-13    9.281235e-26
    0.000000e+00    1.220000e+00   -3.895903e-13   -1.357216e-13    4.125542e-13    1.702009e-25
    0.000000e+00    1.240000e+00   -4.907715e-13   -2.650729e-13    5.577816e-13    3.111203e-25
    0.000000e+00    1.260000e+00   -5.970049e-13   -4.587847e-13    7.529264e-13    5.668982e-25
    0.000000e+00    1.280000e+00   -6.958001e-13   -7.385919e-13    1.014720e-12    1.029656e-24
    0.000000e+00    1.300000e+00   -7.659410e-13   -1.130274e-12    1.365352e-12    1.864186e-24
    0.000000e+00    1.320000e+00   -7.739090e-13   -1.662943e-12    1.834207e-12    3.364315e-24
    0.000000e+00    1.340000e+00   -6.693991e-13   -2.367302e-12    2.460125e-12    6.052216e-24
    0.000000e+00    1.360000e+00   -3.798964e-13   -3.272383e-12    3.294361e-12    1.085281e-23
    0.000000e+00    1.380000e+00    1.956059e-13   -4.400090e-12    4.404436e-12    1.939906e-23
    0.000000e+00    1.400000e+00    1.193496e-12   -5.756733e-12    5.879150e-12    3.456441e-23
    0.000000e+00    1.420000e+00    2.792526e-12   -7.320548e-12    7.835089e-12    6.138862e-23
    0.000000e+00    1.440000e+00    5.219993e-12   -9.024051e-12    1.042506e-11    1.086818e-22
    0.000000e+00    1.460000e+00    8.755721e-12   -1.072995e-11    1.384899e-11    1.917945e-22
    0.000000e+00    1.480000e+00    1.373176e-11   -1.219933e-11    1.836804e-11    3.373849e-22
    0.000000e+00    1.500000e+00    2.052485e-11   -1.305093e-11    2.432275e-11    5.915963e-22
    0.000000e+00    1.520000e+00    2.953765e-11   -1.271073e-11    3.215642e-11    1.034036e-21
    0.000000e+00    1.540000e+00    4.116346e-11   -1.035176e-11    4.244513e-11    1.801589e-21
    0.000000e+00    1.560000e+00    5.572772e-11   -4.825242e-12    5.593623e-11    3.128861e-21
    0.000000e+00    1.580000e+00    7.339818e-11    5.414050e-12    7.359759e-11    5.416605e-21
    0.000000e+00    1.600000e+00    9.405399e-11    2.238250e-11    9.668055e-11    9.347129e-21
    0.000000e+00    1.620000e+00    1.171029e-10    4.863328e-11    1.268002e-10    1.607828e-20
    0.000000e+00    1.640000e+00    1.412349e-10    8.729873e-11    1.660373e-10    2.756837e-20
    0.000000e+00    1.660000e+00    1.641017e-10    1.420890e-10    2.170683e-10    4.711866e-20
    0.000000e+00    1.680000e+00    1.819115e-10    2.172190e-10    2.833300e-10    8.027588e-20
    0.000000e+00    1.700000e+00    1.889350e-10    3.172259e-10    3.692272e-10    1.363287e-19
    0.000000e+00    1.720000e+00    1.769244e-10    4.466305e-10    4.803967e-10    2.307810e-19
    0.000000e+00    1.740000e+00    1.344578e-10    6.093811e-10    6.240386e-10    3.894242e-19
    0.000000e+00    1.760000e+00    4.624198e-11    8.080123e-10    8.093344e-10    6.550222e-19
    0.000000e+00    1.780000e+00   -1.075763e-10    1.042436e-09    1.047972e-09    1.098246e-18
    0.000000e+00    1.800000e+00   -3.520017e-10    1.308277e-09    1.354804e-09    1.835494e-18
    0.000000e+00    1.820000e+00   -7.175602e-10    1.594667e-09    1.748673e-09    3.057856e-18
    0.000000e+00    1.840000e+00   -1.240273e-09    1.881410e-09    2.253438e-09    5.077982e-18
    0.000000e+00    1.860000e+00   -1.960997e-09    2.135468e-09    2.899264e-09    8.405732e-18
    0.000000e+00    1.880000e+00   -2.923827e-09    2.306737e-09    3.724218e-09    1.386980e-17
    0.000000e+00    1.900000e+00   -4.173191e-09    2.323165e-09    4.776256e-09    2.281262e-17
    0.000000e+00    1.920000e+00   -5.749168e-09    2.085350e-09    6.115686e-09    3.740162e-17
    0.000000e+00    1.940000e+00   -7.680517e-09    1.460900e-09    7.818220e-09    6.112457e-17
    0.000000e+00    1.960000e+00   -9.974840e-09    2.790019e-10    9.978741e-09    9.957528e-17
    0.000000e+00    1.980000e+00   -1.260527e-08   -1.674098e-09    1.271595e-08    1.616953e-16
    0.000000e+00    2.000000e+00   -1.549309e-08   -4.657722e-09    1.617808e-08    2.617301e-16
    0.000000e+00    2.020000e+00   -1.848587e-08   -8.976175e-09    2.054992e-08    4.222991e-16
    0.000000e+00    2.040000e+00   -2.133076e-08   -1.497323e-08    2.606144e-08    6.791988e-16
    0.000000e+00    2.060000e+00   -2.364302e-08   -2.301950e-08    3.299833e-08    1.088890e-15
    0.000000e+00    2.080000e+00   -2.487039e-08   -3.349017e-08    4.171484e-08    1.740128e-15
    0.000000e+00    2.100000e+00   -2.425450e-08   -4.672997e-08    5.264951e-08    2.771971e-15
    0.000000e+00    2.120000e+00   -2.079155e-08   -6.300214e-08    6.634424e-08    4.401558e-15
    0.000000e+00    2.140000e+00   -1.319567e-08   -8.241779e-08    8.346747e-08    6.966818e-15
    0.000000e+00    2.160000e+00    1.300469e-10   -1.048422e-07    1.048423e-07    1.099190e-14
    0.000000e+00    2.180000e+00    2.110819e-08   -1.297748e-07    1.314803e-07    1.728707e-14
    0.000000e+00    2.200000e+00    5.197863e-08   -1.562015e-07    1.646228e-07    2.710067e-14
    0.000000e+00    2.220000e+00    9.525595e-08   -1.824168e-07    2.057901e-07    4.234959e-14
    0.000000e+00    2.240000e+00    1.536397e-07   -2.058206e-07    2.568409e-07    6.596726e-14
    0.000000e+00    2.260000e+00    2.298616e-07   -2.226915e-07    3.200435e-07    1.024278e-13
    0.000000e+00    2.280000e+00    3.264533e-07   -2.279486e-07    3.981612e-07    1.585323e-13
    0.000000e+00    2.300000e+00    4.454155e-07   -2.149163e-07    4.945543e-07    2.445840e-13
    0.000000e+00    2.320000e+00    5.877704e-07   -1.751140e-07    6.133017e-07    3.761390e-13
    0.000000e+00    2.340000e+00    7.529818e-07   -9.810274e-08    7.593456e-07    5.766057e-13
    0.000000e+00    2.360000e+00    9.382284e-07    2.857233e-08    9.386634e-07    8.810890e-13
    0.000000e+00    2.380000e+00    1.137527e-06    2.192929e-07    1.158472e-06    1.342057e-12
    0.000000e+00    2.400000e+00    1.340706e-06    4.900708e-07    1.427467e-06    2.037663e-12
    0.000000e+00    2.420000e+00    1.532255e-06    8.579739e-07    1.756111e-06    3.083926e-12
    0.000000e+00    2.440000e+00    1.690080e-06    1.340195e-06    2.156964e-06    4.652494e-12
    0.000000e+00    2.460000e+00    1.784234e-06    1.952681e-06    2.645081e-06    6.996453e-12
    0.000000e+00    2.480000e+00    1.775714e-06    2.708236e-06    3.238472e-06    1.048770e-11
    0.000000e+00    2.500000e+00    1.615452e-06    3.614026e-06    3.958645e-06    1.567087e-11
    0.000000e+00    2.520000e+00    1.243661e-06    4.668417e-06    4.831233e-06    2.334081e-11
    0.000000e+00    2.540000e+00    5.897562e-07    5.857119e-06    5.886736e-06    3.465366e-11
    0.000000e+00    2.560000e+00   -4.269065e-07    7.148637e-06    7.161373e-06    5.128526e-11
    0.000000e+00    2.580000e+00   -1.895187e-06    8.489097e-06    8.698074e-06    7.565650e-11
    0.000000e+00    2.600000e+00   -3.908883e-06    9.796593e-06    1.054764e-05    1.112526e-10
    0.000000e+00    2.620000e+00   -6.561678e-06    1.095528e-05    1.277004e-05    1.630739e-10
    0.000000e+00    2.640000e+00   -9.939977e-06    1.180960e-05    1.543599e-05    2.382697e-10
    0.000000e+00    2.660000e+00   -1.411332e-05    1.215901e-05    1.862867e-05    3.470273e-10
    0.000000e+00    2.680000e+00   -1.912207e-05    1.175408e-05    2.244576e-05    5.038121e-10
    0.000000e+00    2.700000e+00   -2.496236e-05    1.029443e-05    2.700175e-05    7.290945e-10
    0.000000e+00    2.720000e+00   -3.156805e-05    7.429706e-06    3.243058e-05    1.051742e-09
    0.000000e+00    2.740000e+00   -3.879023e-05    2.764536e-06    3.888862e-05    1.512325e-09
    0.000000e+00    2.760000e+00   -4.637447e-05   -4.131316e-06    4.655813e-05    2.167660e-09
    0.000000e+00    2.780000e+00   -5.393681e-05   -1.370636e-05    5.565109e-05    3.097044e-09
    0.000000e+00    2.800000e+00   -6.093965e-05   -2.640310e-05    6.641359e-05    4.410765e-09
    0.000000e+00    2.820000e+00   -6.666927e-05   -4.262495e-05    7.913076e-05    6.261677e-09
    0.000000e+00    2.840000e+00   -7.021707e-05   -6.269339e-05    9.413234e-05    8.860898e-09
    0.000000e+00    2.860000e+00   -7.046731e-05   -8.679488e-05    1.117989e-04    1.249899e-08
    0.000000e+00    2.880000e+00   -6.609443e-05   -1.149174e-04    1.325688e-04    1.757448e-08
    0.000000e+00    2.900000e+00   -5.557360e-05   -1.467774e-04    1.569460e-04    2.463204e-08
    0.000000e+00    2.920000e+00   -3.720842e-05   -1.817388e-04    1.855087e-04    3.441347e-08
    0.000000e+00    2.940000e+00   -9.179843e-06   -2.187264e-04    2.189190e-04    4.792552e-08
    0.000000e+00    2.960000e+00    3.037968e-05   -2.561381e-04    2.579335e-04    6.652967e-08
    0.000000e+00    2.980000e+00    8.328317e-05   -2.917612e-04    3.034151e-04    9.206069e-08
    0.000000e+00    3.000000e+00    1.511544e-04   -3.226991e-04    3.563458e-04    1.269823e-07
    0.000000e+00    3.020000e+00    2.352598e-04   -3.453175e-04    4.178413e-04    1.745913e-07
    0.000000e+00    3.040000e+00    3.363066e-04   -3.552198e-04    4.891659e-04    2.392833e-07
    0.000000e+00    3.060000e+00    4.542106e-04   -3.472617e-04    5.717499e-04    3.268980e-07
    0.000000e+00    3.080000e+00    5.878365e-04   -3.156179e-04    6.672079e-04    4.451664e-07
    0.000000e+00    3.100000e+00    7.347208e-04   -2.539126e-04    7.773585e-04    6.042863e-07
    0.000000e+00    3.120000e+00    8.907886e-04   -1.554249e-04    9.042462e-04    8.176612e-07
    0.000000e+00    3.140000e+00    1.050079e-03   -1.338002e-05    1.050164e-03    1.102845e-06
    0.000000e+00    3.160000e+00    1.204500e-03    1.786665e-04    1.217679e-03    1.482742e-06
    0.000000e+00    3.180000e+00    1.343637e-03    4.263464e-04    1.409657e-03    1.987133e-06
    0.000000e+00    3.200000e+00    1.454644e-03    7.338999e-04    1.629293e-03    2.654597e-06
    0.000000e+00    3.220000e+00    1.522236e-03    1.103506e-03    1.880140e-03    3.534928e-06
    0.000000e+00    3.240000e+00    1.528839e-03    1.534539e-03    2.166139e-03    4.692159e-06
    0.000000e+00    3.260000e+00    1.454903e-03    2.022769e-03    2.491653e-03    6.208335e-06
    0.000000e+00    3.280000e+00    1.279421e-03    2.559545e-03    2.861501e-03    8.188189e-06
    0.000000e+00    3.300000e+00    9.806822e-04    3.131004e-03    3.280994e-03    1.076492e-05
    0.000000e+00    3.320000e+00    5.372733e-04    3.717344e-03    3.755969e-03    1.410731e-05
    0.000000e+00    3.340000e+00   -7.066730e-05    4.292249e-03    4.292831e-03    1.842840e-05
    0.000000e+00    3.360000e+00   -8.599371e-04    4.822514e-03    4.898585e-03    2.399614e-05
    0.000000e+00    3.380000e+00   -1.842527e-03    5.267951e-03    5.580880e-03    3.114622e-05
    0.000000e+00    3.400000e+00   -3.023687e-03    5.581662e-03    6.348042e-03    4.029764e-05
    0.000000e+00    3.420000e+00   -4.399856e-03    5.710746e-03    7.209116e-03    5.197136e-05
    0.000000e+00    3.440000e+00   -5.956550e-03    5.597516e-03    8.173902e-03    6.681267e-05
    0.000000e+00    3.460000e+00   -7.666300e-03    5.181275e-03    9.252987e-03    8.561776e-05
    0.000000e+00    3.480000e+00   -9.486783e-03    4.400700e-03    1.045778e-02    1.093652e-04
    0.000000e+00    3.500000e+00   -1.135928e-02    3.196838e-03    1.180055e-02    1.392531e-04
    0.000000e+00    3.520000e+00   -1.320765e-02    1.516696e-03    1.329445e-02    1.767423e-04
    0.000000e+00    3.540000e+00   -1.493793e-02   -6.826317e-04    1.495352e-02    2.236076e-04
    0.000000e+00    3.560000e+00   -1.643883e-02   -3.429400e-03    1.679274e-02    2.819960e-04
    0.000000e+00    3.580000e+00   -1.758322e-02   -6.732364e-03    1.882802e-02    3.544945e-04
    0.000000e+00    3.600000e+00   -1.823074e-02   -1.057583e-02    2.107624e-02    4.442079e-04
    0.000000e+00    3.620000e+00   -1.823166e-02   -1.491488e-02    2.355520e-02    5.548472e-04
    0.000000e+00    3.640000e+00   -1.743217e-02   -1.967101e-02    2.628363e-02    6.908293e-04
    0.000000e+00    3.660000e+00   -1.568085e-02   -2.472854e-02    2.928122e-02    8.573899e-04
    0.000000e+00    3.680000e+00   -1.283651e-02   -2.993214e-02    3.256853e-02    1.060709e-03
    0.000000e+00    3.700000e+00   -8.777097e-03   -3.508579e-02    3.616697e-02    1.308050e-03
    0.000000e+00    3.720000e+00   -3.409498e-03   -3.995359e-02    4.009880e-02    1.607914e-03
    0.000000e+00    3.740000e+00    3.320141e-03   -4.426264e-02    4.438699e-02    1.970205e-03
    0.000000e+00    3.760000e+00    1.141595e-02   -4.770838e-02    4.905521e-02    2.406414e-03
    0.000000e+00    3.780000e+00    2.082228e-02   -4.996241e-02    5.412772e-02    2.929810e-03
    0.000000e+00    3.800000e+00    3.141464e-02   -5.068303e-02    5.962926e-02    3.555649e-03
    0.000000e+00    3.820000e+00    4.299219e-02   -4.952836e-02    6.558496e-02    4.301387e-03
    0.000000e+00    3.840000e+00    5.527261e-02   -4.617191e-02    7.202018e-02    5.186907e-03
    0.000000e+00    3.860000e+00    6.788982e-02   -4.032017e-02    7.896040e-02    6.234744e-03
    0.000000e+00    3.880000e+00    8.039534e-02   -3.173180e-02    8.643100e-02    7.470318e-03
    0.000000e+00    3.900000e+00    9.226370e-02   -2.023769e-02    9.445716e-02    8.922155e-03
    0.000000e+00    3.920000e+00    1.029025e-01   -5.760987e-03    1.030636e-01    1.062211e-02
    0.000000e+00    3.940000e+00    1.116670e-01    1.166371e-02    1.122745e-01    1.260555e-02
    0.000000e+00    3.960000e+00    1.178799e-01    3.187331e-02    1.221129e-01    1.491157e-02
    0.000000e+00    3.980000e+00    1.208555e-01    5.456229e-02    1.326012e-01    1.758309e-02
    0.000000e+00    4.000000e+00    1.199281e-01    7.927319e-02    1.437602e-01    2.066699e-02
    0.000000e+00    4.020000e+00    1.144840e-01    1.053925e-01    1.556090e-01    2.421416e-02
    0.000000e+00    4.040000e+00    1.039957e-01    1.321530e-01    1.681651e-01    2.827951e-02
    0.000000e+00    4.060000e+00    8.805735e-02    1.586436e-01    1.814439e-01    3.292188e-02
    0.000000e+00    4.080000e+00    6.642011e-02    1.838267e-01    1.954582e-01    3.820390e-02
    0.000000e+00    4.100000e+00    3.902486e-02    2.065642e-01    2.102183e-01    4.419172e-02
    0.000000e+00    4.120000e+00    6.031475e-03    2.256509e-01    2.257315e-01    5.095473e-02
    0.000000e+00    4.140000e+00   -3.215795e-02    2.398560e-01    2.420021e-01    5.856502e-02
    0.000000e+00    4.160000e+00   -7.488342e-02    2.479705e-01    2.590307e-01    6.709688e-02
    0.000000e+00    4.180000e+00   -1.212208e-01    2.488606e-01    2.768142e-01    7.662608e-02
    0.000000e+00    4.200000e+00   -1.699863e-01    2.415237e-01    2.953457e-01    8.722906e-02
    0.000000e+00    4.220000e+00   -2.197529e-01    2.251458e-01    3.146140e-01    9.898195e-02
    0.000000e+00    4.240000e+00   -2.688790e-01    1.991573e-01    3.346035e-01    1.119595e-01
    0.000000e+00    4.260000e+00   -3.155503e-01    1.632852e-01    3.552943e-01    1.262340e-01
    0.000000e+00    4.280000e+00   -3.578331e-01    1.175977e-01    3.766613e-01    1.418737e-01
    0.000000e+00    4.300000e+00   -3.937391e-01    6.253958e-02    3.986749e-01    1.589417e-01
    0.000000e+00    4.320000e+00   -4.212992e-01   -1.045166e-03    4.213005e-01    1.774941e-01
    0.000000e+00    4.340000e+00   -4.386439e-01   -7.190510e-02    4.444984e-01    1.975788e-01
    0.000000e+00    4.360000e+00   -4.440879e-01   -1.483897e-01    4.682238e-01    2.192335e-01
    0.000000e+00    4.380000e+00   -4.362149e-01   -2.284754e-01    4.924271e-01    2.424844e-01
    0.000000e+00    4.400000e+00   -4.139591e-01   -3.098099e-01    5.170535e-01    2.673443e-01
    0.000000e+00    4.420000e+00   -3.766796e-01   -3.897739e-01    5.420436e-01    2.938112e-01
    0.000000e+00    4.440000e+00   -3.242228e-01   -4.655602e-01    5.673330e-01    3.218667e-01
    0.000000e+00    4.460000e+00   -2.569710e-01   -5.342663e-01    5.928530e-01    3.514746e-01
    0.000000e+00    4.480000e+00   -1.758715e-01   -5.930001e-01    6.185304e-01    3.825799e-01
    0.000000e+00    4.500000e+00   -8.244552e-02   -6.389916e-01    6.442884e-01    4.151075e-01
    0.000000e+00    4.520000e+00    2.122651e-02   -6.697097e-01    6.700460e-01    4.489617e-01
    0.000000e+00    4.540000e+00    1.325434e-01   -6.829771e-01    6.957194e-01    4.840255e-01
    0.000000e+00    4.560000e+00    2.484462e-01   -6.770783e-01    7.212216e-01    5.201606e-01
    0.000000e+00    4.580000e+00    3.655033e-01   -6.508569e-01    7.464633e-01    5.572074e-01
    0.000000e+00    4.600000e+00    4.800173e-01   -6.037956e-01    7.713532e-01    5.949858e-01
    0.000000e+00    4.620000e+00    5.881487e-01   -5.360754e-01    7.957988e-01    6.332957e-01
    0.000000e+00    4.640000e+00    6.860526e-01   -4.486097e-01    8.197065e-01    6.719188e-01
    0.000000e+00    4.660000e+00    7.700231e-01   -3.430512e-01    8.429827e-01    7.106198e-01
    0.000000e+00    4.680000e+00    8.366405e-01   -2.217689e-01    8.655338e-01    7.491487e-01
    0.000000e+00    4.700000e+00    8.829131e-01   -8.779480e-02    8.872674e-01    7.872434e-01
    0.000000e+00    4.720000e+00    9.064098e-01    5.525793e-02    9.080926e-01    8.246322e-01
    0.000000e+00    4.740000e+00    9.053753e-01    2.033040e-01    9.279208e-01    8.610370e-01
    0.000000e+00    4.760000e+00    8.788231e-01    3.519185e-01    9.466661e-01    8.961766e-01
    0.000000e+00    4.780000e+00    8.266015e-01    4.964879e-01    9.642460e-01    9.297703e-01
    0.000000e+00    4.800000e+00    7.494292e-01    6.323742e-01    9.805821e-01    9.615413e-01
    0.000000e+00    4.820000e+00    6.488969e-01    7.550853e-01    9.956008e-01    9.912210e-01
    0.000000e+00    4.840000e+00    5.274344e-01    8.604447e-01    1.009233e+00    1.018552e+00
    0.000000e+00    4.860000e+00    3.882442e-01    9.447537e-01    1.021417e+00    1.043293e+00
    0.000000e+00    4.880000e+00    2.352023e-01    1.004938e+00    1.032095e+00    1.065221e+00
    0.000000e+00    4.900000e+00    7.273037e-02    1.038675e+00    1.041218e+00    1.084135e+00
    0.000000e+00    4.920000e+00   -9.435530e-02    1.044489e+00    1.048742e+00    1.099859e+00
    0.000000e+00    4.940000e+00   -2.610138e-01    1.021821e+00    1.054631e+00    1.112247e+00
    0.000000e+00    4.960000e+00   -4.221599e-01    9.710621e-01    1.058858e+00    1.121181e+00
    0.000000e+00    4.980000e+00   -5.728488e-01    8.935432e-01    1.061402e+00    1.126575e+00
    0.000000e+00    5.000000e+00   -7.084562e-01    7.914979e-01    1.062252e+00    1.128379e+00
    0.000000e+00    5.020000e+00   -8.248472e-01    6.679837e-01    1.061402e+00    1.126575e+00
    0.000000e+00    5.040000e+00   -9.185265e-01    5.267728e-01    1.058858e+00    1.121181e+00
    0.000000e+00    5.060000e+00   -9.867640e-01    3.722147e-01    1.054631e+00    1.112247e+00
    0.000000e+00    5.080000e+00   -1.027690e+00    2.090769e-01    1.048742e+00    1.099859e+00
    0.000000e+00    5.100000e+00   -1.040355e+00    4.237055e-02    1.041218e+00    1.084135e+00
    0.000000e+00    5.120000e+00   -1.024760e+00   -1.228325e-01    1.032095e+00    1.065221e+00
    0.000000e+00    5.140000e+00   -9.818372e-01   -2.815828e-01    1.021417e+00    1.043293e+00
    0.000000e+00    5.160000e+00   -9.134083e-01   -4.292290e-01    1.009233e+00    1.018552e+00
    0.000000e+00    5.180000e+00   -8.221007e-01   -5.615795e-01    9.956008e-01    9.912210e-01
    0.000000e+00    5.200000e+00   -7.112370e-01   -6.750432e-01    9.805821e-01    9.615413e-01
    0.000000e+00    5.220000e+00   -5.846999e-01   -7.667439e-01    9.642460e-01    9.297703e-01
    0.000000e+00    5.240000e+00   -4.467787e-01   -8.346050e-01    9.466661e-01    8.961766e-01
    0.000000e+00    5.260000e+00   -3.020034e-01   -8.774001e-01    9.279208e-01    8.610370e-01
    0.000000e+00    5.280000e+00   -1.549763e-01   -8.947707e-01    9.080926e-01    8.246322e-01
    0.000000e+00    5.300000e+00   -1.020408e-02   -8.872087e-01    8.872674e-01    7.872434e-01
    0.000000e+00    5.320000e+00    1.280592e-01   -8.560079e-01    8.655338e-01    7.491487e-01
    0.000000e+00    5.340000e+00    2.559540e-01   -8.031857e-01    8.429827e-01    7.106198e-01
    0.000000e+00    5.360000e+00    3.701366e-01   -7.313807e-01    8.197065e-01    6.719188e-01
    0.000000e+00    5.380000e+00    4.678751e-01   -6.437302e-01    7.957988e-01    6.332957e-01
